area,cases,date
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,930,2020-10-26
FEDERAL PRISON IN LOMPOC,1026,2020-10-26
CITY OF SANTA MARIA,4134,2020-10-26
COMMUNITY OF ORCUTT,370,2020-10-26
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",459,2020-10-26
Out of County,0,2020-10-26
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",214,2020-10-23
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1268,2020-10-23
CITY OF GOLETA,276,2020-10-23
COMMUNITY OF ISLA VISTA,318,2020-10-23
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,218,2020-10-23
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",181,2020-10-23
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,922,2020-10-23
FEDERAL PRISON IN LOMPOC,1026,2020-10-23
CITY OF SANTA MARIA,4120,2020-10-23
COMMUNITY OF ORCUTT,366,2020-10-23
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",459,2020-10-23
Out of County,0,2020-10-23
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",213,2020-10-22
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1266,2020-10-22
CITY OF GOLETA,275,2020-10-22
COMMUNITY OF ISLA VISTA,306,2020-10-22
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,217,2020-10-22
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",181,2020-10-22
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,919,2020-10-22
FEDERAL PRISON IN LOMPOC,1026,2020-10-22
CITY OF SANTA MARIA,4102,2020-10-22
COMMUNITY OF ORCUTT,364,2020-10-22
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",458,2020-10-22
Out of County,0,2020-10-22
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",212,2020-10-21
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1264,2020-10-21
CITY OF GOLETA,273,2020-10-21
COMMUNITY OF ISLA VISTA,301,2020-10-21
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,216,2020-10-21
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",179,2020-10-21
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,913,2020-10-21
FEDERAL PRISON IN LOMPOC,1026,2020-10-21
CITY OF SANTA MARIA,4098,2020-10-21
COMMUNITY OF ORCUTT,363,2020-10-21
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",457,2020-10-21
Out of County,0,2020-10-21
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",211,2020-10-20
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1263,2020-10-20
CITY OF GOLETA,273,2020-10-20
COMMUNITY OF ISLA VISTA,298,2020-10-20
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,216,2020-10-20
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",178,2020-10-20
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,912,2020-10-20
FEDERAL PRISON IN LOMPOC,1026,2020-10-20
CITY OF SANTA MARIA,4089,2020-10-20
COMMUNITY OF ORCUTT,363,2020-10-20
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",457,2020-10-20
Out of County,0,2020-10-20
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",210,2020-10-19
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1261,2020-10-19
CITY OF GOLETA,272,2020-10-19
COMMUNITY OF ISLA VISTA,293,2020-10-19
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,216,2020-10-19
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",177,2020-10-19
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,910,2020-10-19
FEDERAL PRISON IN LOMPOC,1026,2020-10-19
CITY OF SANTA MARIA,4091,2020-10-19
COMMUNITY OF ORCUTT,357,2020-10-19
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",447,2020-10-19
Out of County,0,2020-10-19
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",207,2020-10-16
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1257,2020-10-16
CITY OF GOLETA,270,2020-10-16
COMMUNITY OF ISLA VISTA,269,2020-10-16
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,214,2020-10-16
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",176,2020-10-16
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,899,2020-10-16
FEDERAL PRISON IN LOMPOC,1026,2020-10-16
CITY OF SANTA MARIA,4073,2020-10-16
COMMUNITY OF ORCUTT,351,2020-10-16
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",444,2020-10-16
Out of County,0,2020-10-16
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",206,2020-10-15
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1255,2020-10-15
CITY OF GOLETA,271,2020-10-15
COMMUNITY OF ISLA VISTA,266,2020-10-15
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,212,2020-10-15
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",174,2020-10-15
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,899,2020-10-15
FEDERAL PRISON IN LOMPOC,1026,2020-10-15
CITY OF SANTA MARIA,4068,2020-10-15
COMMUNITY OF ORCUTT,347,2020-10-15
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",443,2020-10-15
Out of County,0,2020-10-15
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",204,2020-10-14
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1254,2020-10-14
CITY OF GOLETA,271,2020-10-14
COMMUNITY OF ISLA VISTA,262,2020-10-14
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,211,2020-10-14
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",172,2020-10-14
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,896,2020-10-14
FEDERAL PRISON IN LOMPOC,1026,2020-10-14
CITY OF SANTA MARIA,4064,2020-10-14
COMMUNITY OF ORCUTT,347,2020-10-14
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",442,2020-10-14
Out of County,0,2020-10-14
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",204,2020-10-13
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1255,2020-10-13
CITY OF GOLETA,269,2020-10-13
COMMUNITY OF ISLA VISTA,255,2020-10-13
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,211,2020-10-13
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",170,2020-10-13
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,895,2020-10-13
FEDERAL PRISON IN LOMPOC,1026,2020-10-13
CITY OF SANTA MARIA,4060,2020-10-13
COMMUNITY OF ORCUTT,347,2020-10-13
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",442,2020-10-13
Out of County,0,2020-10-13
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",202,2020-10-12
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1249,2020-10-12
CITY OF GOLETA,268,2020-10-12
COMMUNITY OF ISLA VISTA,255,2020-10-12
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,209,2020-10-12
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",168,2020-10-12
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,894,2020-10-12
FEDERAL PRISON IN LOMPOC,1025,2020-10-12
CITY OF SANTA MARIA,4052,2020-10-12
COMMUNITY OF ORCUTT,345,2020-10-12
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",439,2020-10-12
Out of County,0,2020-10-12
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",203,2020-10-09
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1239,2020-10-09
CITY OF GOLETA,266,2020-10-09
COMMUNITY OF ISLA VISTA,250,2020-10-09
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,205,2020-10-09
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",160,2020-10-09
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,882,2020-10-09
FEDERAL PRISON IN LOMPOC,1025,2020-10-09
CITY OF SANTA MARIA,4012,2020-10-09
COMMUNITY OF ORCUTT,341,2020-10-09
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",432,2020-10-09
Out of County,0,2020-10-09
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",202,2020-10-08
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1239,2020-10-08
CITY OF GOLETA,266,2020-10-08
COMMUNITY OF ISLA VISTA,246,2020-10-08
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,203,2020-10-08
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",160,2020-10-08
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,877,2020-10-08
FEDERAL PRISON IN LOMPOC,1025,2020-10-08
CITY OF SANTA MARIA,4004,2020-10-08
COMMUNITY OF ORCUTT,340,2020-10-08
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",432,2020-10-08
Out of County,0,2020-10-08
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",200,2020-10-07
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1237,2020-10-07
CITY OF GOLETA,265,2020-10-07
COMMUNITY OF ISLA VISTA,244,2020-10-07
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,202,2020-10-07
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",160,2020-10-07
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,874,2020-10-07
FEDERAL PRISON IN LOMPOC,1025,2020-10-07
CITY OF SANTA MARIA,4000,2020-10-07
COMMUNITY OF ORCUTT,335,2020-10-07
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",430,2020-10-07
Out of County,0,2020-10-07
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",199,2020-10-06
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1234,2020-10-06
CITY OF GOLETA,263,2020-10-06
COMMUNITY OF ISLA VISTA,244,2020-10-06
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,202,2020-10-06
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",158,2020-10-06
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,869,2020-10-06
FEDERAL PRISON IN LOMPOC,1025,2020-10-06
CITY OF SANTA MARIA,3991,2020-10-06
COMMUNITY OF ORCUTT,334,2020-10-06
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",428,2020-10-06
Out of County,0,2020-10-06
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",197,2020-10-05
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1233,2020-10-05
CITY OF GOLETA,262,2020-10-05
COMMUNITY OF ISLA VISTA,242,2020-10-05
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,202,2020-10-05
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",157,2020-10-05
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,865,2020-10-05
FEDERAL PRISON IN LOMPOC,1024,2020-10-05
CITY OF SANTA MARIA,3984,2020-10-05
COMMUNITY OF ORCUTT,334,2020-10-05
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",426,2020-10-05
Out of County,0,2020-10-05
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",196,2020-10-02
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1225,2020-10-02
CITY OF GOLETA,259,2020-10-02
COMMUNITY OF ISLA VISTA,240,2020-10-02
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,201,2020-10-02
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",155,2020-10-02
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,851,2020-10-02
FEDERAL PRISON IN LOMPOC,1024,2020-10-02
CITY OF SANTA MARIA,3953,2020-10-02
COMMUNITY OF ORCUTT,330,2020-10-02
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",424,2020-10-02
Out of County,0,2020-10-02
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",196,2020-10-01
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1224,2020-10-01
CITY OF GOLETA,257,2020-10-01
COMMUNITY OF ISLA VISTA,239,2020-10-01
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,201,2020-10-01
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",153,2020-10-01
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,846,2020-10-01
FEDERAL PRISON IN LOMPOC,1024,2020-10-01
CITY OF SANTA MARIA,3941,2020-10-01
COMMUNITY OF ORCUTT,329,2020-10-01
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",423,2020-10-01
Out of County,0,2020-10-01
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",194,2020-09-30
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1222,2020-09-30
CITY OF GOLETA,256,2020-09-30
COMMUNITY OF ISLA VISTA,238,2020-09-30
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,201,2020-09-30
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",152,2020-09-30
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,844,2020-09-30
FEDERAL PRISON IN LOMPOC,1024,2020-09-30
CITY OF SANTA MARIA,3927,2020-09-30
COMMUNITY OF ORCUTT,328,2020-09-30
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",423,2020-09-30
Out of County,0,2020-09-30
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",193,2020-09-29
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1222,2020-09-29
CITY OF GOLETA,256,2020-09-29
COMMUNITY OF ISLA VISTA,234,2020-09-29
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,200,2020-09-29
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",152,2020-09-29
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,838,2020-09-29
FEDERAL PRISON IN LOMPOC,1024,2020-09-29
CITY OF SANTA MARIA,3913,2020-09-29
COMMUNITY OF ORCUTT,327,2020-09-29
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",418,2020-09-29
Out of County,0,2020-09-29
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",191,2020-09-28
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1218,2020-09-28
CITY OF GOLETA,255,2020-09-28
COMMUNITY OF ISLA VISTA,234,2020-09-28
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,199,2020-09-28
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",152,2020-09-28
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,834,2020-09-28
FEDERAL PRISON IN LOMPOC,1024,2020-09-28
CITY OF SANTA MARIA,3900,2020-09-28
COMMUNITY OF ORCUTT,326,2020-09-28
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",413,2020-09-28
Out of County,0,2020-09-28
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",191,2020-09-25
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1212,2020-09-25
CITY OF GOLETA,254,2020-09-25
COMMUNITY OF ISLA VISTA,229,2020-09-25
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,198,2020-09-25
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",152,2020-09-25
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,820,2020-09-25
FEDERAL PRISON IN LOMPOC,1024,2020-09-25
CITY OF SANTA MARIA,3859,2020-09-25
COMMUNITY OF ORCUTT,318,2020-09-25
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",403,2020-09-25
Out of County,0,2020-09-25
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",189,2020-09-24
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1211,2020-09-24
CITY OF GOLETA,253,2020-09-24
COMMUNITY OF ISLA VISTA,226,2020-09-24
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,198,2020-09-24
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",153,2020-09-24
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,810,2020-09-24
FEDERAL PRISON IN LOMPOC,1024,2020-09-24
CITY OF SANTA MARIA,3848,2020-09-24
COMMUNITY OF ORCUTT,314,2020-09-24
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",401,2020-09-24
Out of County,0,2020-09-24
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",189,2020-09-23
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1206,2020-09-23
CITY OF GOLETA,251,2020-09-23
COMMUNITY OF ISLA VISTA,219,2020-09-23
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,197,2020-09-23
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",151,2020-09-23
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,806,2020-09-23
FEDERAL PRISON IN LOMPOC,1024,2020-09-23
CITY OF SANTA MARIA,3842,2020-09-23
COMMUNITY OF ORCUTT,313,2020-09-23
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",399,2020-09-23
Out of County,0,2020-09-23
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",188,2020-09-22
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1205,2020-09-22
CITY OF GOLETA,250,2020-09-22
COMMUNITY OF ISLA VISTA,218,2020-09-22
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,197,2020-09-22
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",149,2020-09-22
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,805,2020-09-22
FEDERAL PRISON IN LOMPOC,1024,2020-09-22
CITY OF SANTA MARIA,3838,2020-09-22
COMMUNITY OF ORCUTT,310,2020-09-22
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",396,2020-09-22
Out of County,0,2020-09-22
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",188,2020-09-21
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1203,2020-09-21
CITY OF GOLETA,248,2020-09-21
COMMUNITY OF ISLA VISTA,214,2020-09-21
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,197,2020-09-21
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",147,2020-09-21
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,802,2020-09-21
FEDERAL PRISON IN LOMPOC,1024,2020-09-21
CITY OF SANTA MARIA,3827,2020-09-21
COMMUNITY OF ORCUTT,310,2020-09-21
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",395,2020-09-21
Out of County,0,2020-09-21
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",188,2020-09-18
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1189,2020-09-18
CITY OF GOLETA,246,2020-09-18
COMMUNITY OF ISLA VISTA,209,2020-09-18
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,192,2020-09-18
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",142,2020-09-18
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,793,2020-09-18
FEDERAL PRISON IN LOMPOC,1026,2020-09-18
CITY OF SANTA MARIA,3795,2020-09-18
COMMUNITY OF ORCUTT,305,2020-09-18
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",388,2020-09-18
Out of County,0,2020-09-18
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",187,2020-09-17
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1183,2020-09-17
CITY OF GOLETA,245,2020-09-17
COMMUNITY OF ISLA VISTA,207,2020-09-17
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,192,2020-09-17
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",142,2020-09-17
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,785,2020-09-17
FEDERAL PRISON IN LOMPOC,1024,2020-09-17
CITY OF SANTA MARIA,3778,2020-09-17
COMMUNITY OF ORCUTT,305,2020-09-17
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",385,2020-09-17
Out of County,0,2020-09-17
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",187,2020-09-16
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1179,2020-09-16
CITY OF GOLETA,245,2020-09-16
COMMUNITY OF ISLA VISTA,200,2020-09-16
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,192,2020-09-16
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",142,2020-09-16
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,781,2020-09-16
FEDERAL PRISON IN LOMPOC,1024,2020-09-16
CITY OF SANTA MARIA,3774,2020-09-16
COMMUNITY OF ORCUTT,305,2020-09-16
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",385,2020-09-16
Out of County,0,2020-09-16
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",187,2020-09-15
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1177,2020-09-15
CITY OF GOLETA,242,2020-09-15
COMMUNITY OF ISLA VISTA,193,2020-09-15
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,189,2020-09-15
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",141,2020-09-15
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,775,2020-09-15
FEDERAL PRISON IN LOMPOC,1024,2020-09-15
CITY OF SANTA MARIA,3764,2020-09-15
COMMUNITY OF ORCUTT,298,2020-09-15
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",383,2020-09-15
Out of County,0,2020-09-15
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",186,2020-09-14
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1167,2020-09-14
CITY OF GOLETA,240,2020-09-14
COMMUNITY OF ISLA VISTA,186,2020-09-14
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,187,2020-09-14
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",138,2020-09-14
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,770,2020-09-14
FEDERAL PRISON IN LOMPOC,1024,2020-09-14
CITY OF SANTA MARIA,3748,2020-09-14
COMMUNITY OF ORCUTT,293,2020-09-14
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",380,2020-09-14
