area,cases,date
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1278,2021-02-28
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5948,2021-02-28
CITY OF GOLETA,1647,2021-02-28
COMMUNITY OF ISLA VISTA,1224,2021-02-28
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1104,2021-02-28
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",946,2021-02-28
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3363,2021-02-28
FEDERAL PRISON IN LOMPOC,1086,2021-02-28
CITY OF SANTA MARIA,10777,2021-02-28
COMMUNITY OF ORCUTT,1693,2021-02-28
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1228,2021-02-28
Out of County,0,2021-02-28
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1273,2021-02-27
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5929,2021-02-27
CITY OF GOLETA,1642,2021-02-27
COMMUNITY OF ISLA VISTA,1219,2021-02-27
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1101,2021-02-27
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",944,2021-02-27
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3348,2021-02-27
FEDERAL PRISON IN LOMPOC,1086,2021-02-27
CITY OF SANTA MARIA,10767,2021-02-27
COMMUNITY OF ORCUTT,1692,2021-02-27
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1228,2021-02-27
Out of County,0,2021-02-27
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1272,2021-02-26
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5908,2021-02-26
CITY OF GOLETA,1640,2021-02-26
COMMUNITY OF ISLA VISTA,1219,2021-02-26
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1099,2021-02-26
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",943,2021-02-26
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3333,2021-02-26
FEDERAL PRISON IN LOMPOC,1086,2021-02-26
CITY OF SANTA MARIA,10743,2021-02-26
COMMUNITY OF ORCUTT,1680,2021-02-26
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1228,2021-02-26
Out of County,0,2021-02-26
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1270,2021-02-25
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5889,2021-02-25
CITY OF GOLETA,1638,2021-02-25
COMMUNITY OF ISLA VISTA,1219,2021-02-25
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1095,2021-02-25
